id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1511493557710110722,1511457901533347840,2022-04-05 23:58:41 UTC,2022-04-05,23:58:41,+0000,1281890726133919744,yogacahya_,ygy,,@mybottlee_ @collegemenfess Oiya ditambah kalo polisi lagi patroli itu pasti selalu pake mobil dan nyalain strobo di jalanan  terus kalo baca2 berita yang nangkep pelaku klitih pertama kali itu pasti selalu warga biasa 😂,in,[],[],[],1,0,28,[],[],https://twitter.com/YogaCahya_/status/1511493557710110722,False,,0,,,,,,,,"[{'screen_name': 'mybottlee_', 'name': 'fafocadouw🥑', 'id': '3035656615'}, {'screen_name': 'collegemenfess', 'name': 'COLLE', 'id': '1046084008742801408'}]",,,,
1511493480823988226,1511154685008560129,2022-04-05 23:58:22 UTC,2022-04-05,23:58:22,+0000,1159265880494133248,sukasukaara,hantu,,@zoelfick Klitih itu begal gt kh?,in,[],[],[],1,0,0,[],[],https://twitter.com/sukasukaara/status/1511493480823988226,False,,0,,,,,,,,"[{'screen_name': 'zoelfick', 'name': 'Zulfikar Akbar', 'id': '86934018'}]",,,,
1511493330022322178,1511204838511505408,2022-04-05 23:57:46 UTC,2022-04-05,23:57:46,+0000,1317172772179644416,trustmetrusthaa,𝖚𝖙𝖆♡,,@Stakof cooo backingan klitih kok luweh kuat wjwk iki sekte kramat tah piye,in,[],[],[],0,0,1,[],[],https://twitter.com/trustmetrusthaa/status/1511493330022322178,False,,0,,,,,,,,"[{'screen_name': 'Stakof', 'name': 'Rumail Abbas', 'id': '68331085'}]",,,,
1511493321574989824,1511493321574989824,2022-04-05 23:57:44 UTC,2022-04-05,23:57:44,+0000,2677156758,deviliciouss,デビッド,,Normalize kemana2 bawa sajam. Jadi ketika bertemu 'klitih' langsung ajak carok ditempat 😌🙏🏻,in,[],[],[],1,0,0,[],[],https://twitter.com/Deviliciouss/status/1511493321574989824,False,,0,,,,,,,,[],,,,
1511493293158563840,1511493293158563840,2022-04-05 23:57:37 UTC,2022-04-05,23:57:37,+0000,84522452,masoleole,vrmnsyh فندي,,Joga dan sekitarnya tuh harus dikasi sanksi sm masyarakat blacklist wisata dulu grgr Klitih.  Kalo ga gitu Pemda atau siapalah yg berwenang ga bakal gerak cepet.,in,[],[],[],0,0,0,[],[],https://twitter.com/MasOleOle/status/1511493293158563840,False,,0,,,,,,,,[],,,,
1511493157158293504,1511431329413443589,2022-04-05 23:57:05 UTC,2022-04-05,23:57:05,+0000,886242006,alfiansyac_,𝙍𝙚𝙢𝙖𝙟𝙖 𝙋𝙧𝙞𝙢𝙖,,"@haedarAdzkiya @merapi_uncover @omgasat Dolan solo / visit solo aja , jogja darurat kamtibmas.. Ben wengi mesti ono wae brita sing di klitih",in,[],[],[],0,0,1,[],[],https://twitter.com/alfiansyac_/status/1511493157158293504,False,,0,,,,,,,,"[{'screen_name': 'haedarAdzkiya', 'name': '𝒲𝒶𝓁𝒶𝓃𝑔ᥬ🥶᭄', 'id': '1458990547'}, {'screen_name': 'merapi_uncover', 'name': 'IG: Merapi_Uncover', 'id': '1279804428724211712'}, {'screen_name': 'omgasat', 'name': 'PAK ATAN', 'id': '391722063'}]",,,,
1511493082969419776,1511460992739586050,2022-04-05 23:56:47 UTC,2022-04-05,23:56:47,+0000,483531313,widodolestari,ꦮꦶꦢꦺꦴꦢꦺꦴꦊꦱ꧀ꦠꦫꦶ,,"@bimosaurus @dobelden Gpp sih. Dibandingkan komentar jaman dulu, yang sekarang berbuah tindakan. Dan terlepas pengertian klitih sendiri, yang diinginkan masyarakat itu ya soal keamanan.",in,[],[],[],1,0,0,[],[],https://twitter.com/widodolestari/status/1511493082969419776,False,,0,,,,,,,,"[{'screen_name': 'bimosaurus', 'name': 'bimosaurus', 'id': '50993548'}, {'screen_name': 'dobelden', 'name': 'คนต้มเบียร์ @kopitemanggung', 'id': '52386995'}]",,,,
1511492899564769281,1511204838511505408,2022-04-05 23:56:04 UTC,2022-04-05,23:56:04,+0000,405325026,kodoksang,ANDITA UMAR AMRULLOH,,"@Stakof Jgn bang, kalo razia malah bisa situduh pelaku klitih",in,[],[],[],0,0,0,[],[],https://twitter.com/KodokSang/status/1511492899564769281,False,,0,,,,,,,,"[{'screen_name': 'Stakof', 'name': 'Rumail Abbas', 'id': '68331085'}]",,,,
1511492892396720128,1511492892396720128,2022-04-05 23:56:02 UTC,2022-04-05,23:56:02,+0000,1278011378268168192,imscretadmrer,beasiswa : Be Dick Me See (last),,"Jogjakarta tercipta dr makanan yg kadang harganya nuthuk kanggo wisatawan, klitih dan pemimpin2 daerahnya sing isone ngentengke kasus",in,[],[],[],0,0,2,[],[],https://twitter.com/imscretadmrer/status/1511492892396720128,False,,0,,,,,,,,[],,,,
1511492683768172544,1511389609397465089,2022-04-05 23:55:12 UTC,2022-04-05,23:55:12,+0000,1374330946766340096,oakixzshy,rayy || free tag to,,@AREAJULID @breenadbear Klitih cupu beraninya rame2 dasar sinting 😤,in,[],[],[],0,0,0,[],[],https://twitter.com/oakixzshy/status/1511492683768172544,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}, {'screen_name': 'breenadbear', 'name': 'bb²³', 'id': '1458921072829501441'}]",,,,
